host_id,host_name,host_since,is_superhost,response_rate,created_at
1,Timothy Parker,20-03-2018,FALSE,99,15:54.0
2,Hannah Evans,01-01-2024,FALSE,95,15:54.0
3,Crystal Green,06-08-2016,FALSE,74,15:54.0
4,Kevin Johnson,25-02-2020,FALSE,100,15:54.0
5,Monica Johnson,11-11-2024,FALSE,77,15:54.0
6,Nancy Turner,03-11-2016,FALSE,96,15:54.0
7,Gerald Hunt,21-01-2022,TRUE,99,15:54.0
8,James Lucero,25-05-2020,TRUE,96,15:54.0
9,Antonio Reyes,13-03-2020,TRUE,73,15:54.0
10,Daniel Wells,09-02-2017,TRUE,72,15:54.0
11,Caleb Obrien,09-11-2017,TRUE,72,15:54.0
12,Bryan Morris,05-07-2017,FALSE,92,15:54.0
13,Michelle Johnson,12-03-2018,TRUE,97,15:54.0
14,Robert Stevens,07-08-2018,TRUE,82,15:54.0
15,Kenneth Roach,28-06-2016,TRUE,93,15:54.0
16,Gregory Evans,18-04-2017,TRUE,85,15:54.0
17,Bonnie Soto,04-01-2019,FALSE,86,15:54.0
18,Rebekah Palmer,29-06-2024,FALSE,74,15:54.0
19,Cindy Cortez,02-11-2021,FALSE,81,15:54.0
20,Christopher Diaz,17-11-2022,FALSE,98,15:54.0
21,Benjamin Ross,06-04-2017,FALSE,86,15:54.0
22,Jared Ryan,14-11-2022,FALSE,88,15:54.0
23,Marcus Fox PhD,30-05-2018,TRUE,95,15:54.0
24,Jennifer Morgan,09-06-2017,FALSE,95,15:54.0
25,Joseph Vazquez,11-07-2018,TRUE,83,15:54.0
26,Matthew Miller,06-12-2020,TRUE,85,15:54.0
27,Jesus Fleming,18-09-2024,TRUE,100,15:54.0
28,Ashley Burgess,23-12-2021,FALSE,88,15:54.0
29,Jacob Hunt,07-07-2020,FALSE,91,15:54.0
30,Michelle Vega,11-10-2022,TRUE,80,15:54.0
31,Diana Richardson,07-08-2016,FALSE,82,15:54.0
32,Heidi Cervantes,25-09-2024,TRUE,89,15:54.0
33,Meghan Horn,20-09-2020,TRUE,71,15:54.0
